e4crop_variety_id,country_id,region_id,price,created_at
2,1,3,908,2024-11-18T04:10:41.965297Z
3,3,1,979,2024-10-26T04:10:41.965297Z
3,4,2,925,2024-11-04T04:10:41.965297Z
6,1,4,611,2024-11-19T04:10:41.965297Z
4,4,1,157,2024-11-21T04:10:41.965297Z
5,4,2,207,2024-11-11T04:10:41.965297Z
6,1,1,58,2024-10-29T04:10:41.965297Z
4,3,2,737,2024-11-09T04:10:41.965297Z
3,1,3,729,2024-11-22T04:10:41.965297Z
8,1,1,267,2024-11-03T04:10:41.965297Z
4,2,1,170,2024-11-19T04:10:41.965297Z
6,3,2,883,2024-11-20T04:10:41.965297Z
2,2,2,875,2024-11-10T04:10:41.965297Z
4,2,4,105,2024-11-09T04:10:41.965297Z
1,3,1,616,2024-10-27T04:10:41.966296Z
7,2,3,437,2024-10-26T04:10:41.966296Z
7,2,2,233,2024-10-31T04:10:41.966296Z
4,2,3,572,2024-10-26T04:10:41.966296Z
6,2,4,608,2024-11-23T04:10:41.966296Z
2,4,4,307,2024-11-15T04:10:41.966296Z
5,1,1,570,2024-10-31T04:10:41.966296Z
7,1,1,50,2024-10-27T04:10:41.966296Z
8,2,2,59,2024-11-02T04:10:41.966296Z
7,3,1,588,2024-11-19T04:10:41.966296Z
6,3,2,662,2024-10-26T04:10:41.966296Z
3,3,1,530,2024-11-22T04:10:41.966296Z
4,2,2,516,2024-11-09T04:10:41.966296Z
3,1,4,533,2024-11-07T04:10:41.966296Z
7,4,3,655,2024-11-21T04:10:41.966296Z
3,2,2,139,2024-10-27T04:10:41.966296Z
7,4,3,221,2024-11-06T04:10:41.966296Z
3,2,3,428,2024-11-03T04:10:41.966296Z
1,3,3,653,2024-11-14T04:10:41.966296Z
1,1,2,538,2024-11-11T04:10:41.966296Z
5,1,4,984,2024-10-28T04:10:41.966296Z
8,4,1,698,2024-10-29T04:10:41.966296Z
7,1,2,630,2024-10-27T04:10:41.966296Z
4,4,4,604,2024-11-17T04:10:41.966296Z
4,2,2,216,2024-11-08T04:10:41.966296Z
4,3,1,955,2024-11-01T04:10:41.966296Z
3,4,2,345,2024-10-31T04:10:41.967295Z
7,2,2,814,2024-10-28T04:10:41.967295Z
5,2,1,756,2024-11-10T04:10:41.967295Z
6,4,4,477,2024-11-06T04:10:41.967295Z
1,2,1,975,2024-11-22T04:10:41.967295Z
8,1,1,127,2024-11-07T04:10:41.967295Z
4,1,1,432,2024-11-14T04:10:41.967295Z
1,3,4,401,2024-11-04T04:10:41.967295Z
5,2,1,795,2024-11-16T04:10:41.967295Z
2,2,2,786,2024-11-22T04:10:41.967295Z
7,2,2,435,2024-11-23T04:10:41.967295Z
6,2,4,154,2024-11-17T04:10:41.967295Z
5,4,2,696,2024-11-03T04:10:41.967295Z
5,1,4,423,2024-11-21T04:10:41.967295Z
8,2,4,870,2024-11-22T04:10:41.967295Z
5,3,2,980,2024-11-16T04:10:41.967295Z
1,4,1,353,2024-11-02T04:10:41.967295Z
6,2,1,407,2024-11-17T04:10:41.967295Z
8,3,1,619,2024-11-10T04:10:41.967295Z
5,2,2,197,2024-11-02T04:10:41.967295Z
8,1,4,218,2024-10-30T04:10:41.967295Z
5,3,2,907,2024-11-21T04:10:41.967295Z
7,4,3,628,2024-11-03T04:10:41.967295Z
4,2,2,794,2024-11-21T04:10:41.967295Z
8,4,3,54,2024-11-18T04:10:41.967295Z
8,1,2,798,2024-11-09T04:10:41.967295Z
8,2,3,545,2024-11-05T04:10:41.967295Z
7,3,4,636,2024-11-05T04:10:41.967295Z
1,1,1,997,2024-11-05T04:10:41.968295Z
7,1,4,803,2024-11-20T04:10:41.968295Z
8,1,2,509,2024-11-19T04:10:41.968295Z
8,1,3,391,2024-11-06T04:10:41.968295Z
4,1,1,998,2024-10-29T04:10:41.968295Z
8,2,3,443,2024-10-25T04:10:41.968295Z
6,4,4,722,2024-11-04T04:10:41.968295Z
1,2,3,890,2024-11-07T04:10:41.968295Z
5,1,4,752,2024-11-13T04:10:41.968295Z
6,3,1,186,2024-11-15T04:10:41.968295Z
6,2,3,410,2024-10-28T04:10:41.968295Z
2,3,1,559,2024-11-16T04:10:41.968295Z
5,3,1,80,2024-10-25T04:10:41.968295Z
4,2,2,895,2024-11-21T04:10:41.968295Z
4,4,4,685,2024-11-12T04:10:41.968295Z
3,2,4,707,2024-10-28T04:10:41.968295Z
3,3,4,736,2024-11-20T04:10:41.968295Z
5,4,3,205,2024-11-21T04:10:41.968295Z
3,3,4,674,2024-11-14T04:10:41.968295Z
5,2,2,735,2024-10-25T04:10:41.968295Z
7,3,3,250,2024-11-22T04:10:41.968295Z
2,1,1,556,2024-11-20T04:10:41.968295Z
7,2,3,733,2024-11-01T04:10:41.968295Z
3,1,4,371,2024-11-15T04:10:41.968295Z
8,2,1,140,2024-11-20T04:10:41.968295Z
6,2,3,154,2024-11-03T04:10:41.968295Z
2,2,2,338,2024-11-01T04:10:41.968295Z
5,3,1,81,2024-11-23T04:10:41.968295Z
4,2,1,657,2024-10-31T04:10:41.968295Z
6,1,4,99,2024-10-29T04:10:41.968295Z
1,3,3,516,2024-10-25T04:10:41.969294Z
7,2,4,304,2024-11-23T04:10:41.969294Z
